0.0003 	WARNING 	Monitor specification not found. Creating a temporary one...
12.7945 	DATA 	No keypress (maxWait exceeded)
12.8278 	DATA 	No keypress (maxWait exceeded)
12.8611 	DATA 	No keypress (maxWait exceeded)
12.8945 	DATA 	No keypress (maxWait exceeded)
12.9278 	DATA 	No keypress (maxWait exceeded)
12.9611 	DATA 	No keypress (maxWait exceeded)
12.9945 	DATA 	No keypress (maxWait exceeded)
13.0278 	DATA 	No keypress (maxWait exceeded)
13.0611 	DATA 	No keypress (maxWait exceeded)
13.0945 	DATA 	No keypress (maxWait exceeded)
13.1278 	DATA 	No keypress (maxWait exceeded)
13.1611 	DATA 	No keypress (maxWait exceeded)
13.1945 	DATA 	No keypress (maxWait exceeded)
13.2278 	DATA 	No keypress (maxWait exceeded)
13.2611 	DATA 	No keypress (maxWait exceeded)
13.2945 	DATA 	No keypress (maxWait exceeded)
13.3278 	DATA 	No keypress (maxWait exceeded)
13.3611 	DATA 	No keypress (maxWait exceeded)
13.3945 	DATA 	No keypress (maxWait exceeded)
13.4278 	DATA 	No keypress (maxWait exceeded)
13.4612 	DATA 	No keypress (maxWait exceeded)
13.4945 	DATA 	No keypress (maxWait exceeded)
13.5278 	DATA 	No keypress (maxWait exceeded)
13.5611 	DATA 	No keypress (maxWait exceeded)
13.5944 	DATA 	No keypress (maxWait exceeded)
13.6278 	DATA 	No keypress (maxWait exceeded)
13.6611 	DATA 	No keypress (maxWait exceeded)
13.6944 	DATA 	No keypress (maxWait exceeded)
13.7278 	DATA 	No keypress (maxWait exceeded)
13.7611 	DATA 	No keypress (maxWait exceeded)
13.7945 	DATA 	No keypress (maxWait exceeded)
13.8278 	DATA 	No keypress (maxWait exceeded)
13.8612 	DATA 	No keypress (maxWait exceeded)
13.8945 	DATA 	No keypress (maxWait exceeded)
13.9278 	DATA 	No keypress (maxWait exceeded)
13.9611 	DATA 	No keypress (maxWait exceeded)
13.9944 	DATA 	No keypress (maxWait exceeded)
14.0278 	DATA 	No keypress (maxWait exceeded)
14.0611 	DATA 	No keypress (maxWait exceeded)
14.0944 	DATA 	No keypress (maxWait exceeded)
14.1278 	DATA 	No keypress (maxWait exceeded)
14.1611 	DATA 	No keypress (maxWait exceeded)
14.1945 	DATA 	No keypress (maxWait exceeded)
14.2278 	DATA 	No keypress (maxWait exceeded)
14.2611 	DATA 	No keypress (maxWait exceeded)
14.2944 	DATA 	No keypress (maxWait exceeded)
14.3278 	DATA 	No keypress (maxWait exceeded)
14.3611 	DATA 	No keypress (maxWait exceeded)
14.3944 	DATA 	No keypress (maxWait exceeded)
14.4278 	DATA 	No keypress (maxWait exceeded)
14.4611 	DATA 	No keypress (maxWait exceeded)
14.4944 	DATA 	No keypress (maxWait exceeded)
14.5278 	DATA 	No keypress (maxWait exceeded)
14.5611 	DATA 	No keypress (maxWait exceeded)
14.5944 	DATA 	No keypress (maxWait exceeded)
14.6278 	DATA 	No keypress (maxWait exceeded)
14.6611 	DATA 	No keypress (maxWait exceeded)
14.6915 	DATA 	Keypress: escape
14.7177 	EXP 	unnamed ShapeStim: ori = 2.0
14.7177 	EXP 	unnamed ShapeStim: ori = 5.0
14.7177 	EXP 	unnamed ShapeStim: ori = 2.0
14.7177 	EXP 	unnamed ShapeStim: ori = 2.0
14.7177 	EXP 	unnamed ShapeStim: ori = 2.0
14.7177 	EXP 	unnamed ShapeStim: ori = 2.0
14.7177 	EXP 	sent on actual flip
14.7510 	EXP 	unnamed ShapeStim: ori = 4.0
14.7510 	EXP 	unnamed ShapeStim: ori = 10.0
14.7510 	EXP 	unnamed ShapeStim: ori = 4.0
14.7510 	EXP 	unnamed ShapeStim: ori = 4.0
14.7510 	EXP 	unnamed ShapeStim: ori = 4.0
14.7510 	EXP 	unnamed ShapeStim: ori = 4.0
14.7510 	EXP 	sent on actual flip
14.7844 	EXP 	unnamed ShapeStim: ori = 6.0
14.7844 	EXP 	unnamed ShapeStim: ori = 15.0
14.7844 	EXP 	unnamed ShapeStim: ori = 6.0
14.7844 	EXP 	unnamed ShapeStim: ori = 6.0
14.7844 	EXP 	unnamed ShapeStim: ori = 6.0
14.7844 	EXP 	unnamed ShapeStim: ori = 6.0
14.7844 	EXP 	sent on actual flip
14.8177 	EXP 	unnamed ShapeStim: ori = 8.0
14.8177 	EXP 	unnamed ShapeStim: ori = 20.0
14.8177 	EXP 	unnamed ShapeStim: ori = 8.0
14.8177 	EXP 	unnamed ShapeStim: ori = 8.0
14.8177 	EXP 	unnamed ShapeStim: ori = 8.0
14.8177 	EXP 	unnamed ShapeStim: ori = 8.0
14.8177 	EXP 	sent on actual flip
14.8510 	EXP 	unnamed ShapeStim: ori = 10.0
14.8510 	EXP 	unnamed ShapeStim: ori = 25.0
14.8510 	EXP 	unnamed ShapeStim: ori = 10.0
14.8510 	EXP 	unnamed ShapeStim: ori = 10.0
14.8510 	EXP 	unnamed ShapeStim: ori = 10.0
14.8510 	EXP 	unnamed ShapeStim: ori = 10.0
14.8510 	EXP 	sent on actual flip
14.8843 	EXP 	unnamed ShapeStim: ori = 12.0
14.8843 	EXP 	unnamed ShapeStim: ori = 30.0
14.8843 	EXP 	unnamed ShapeStim: ori = 12.0
14.8843 	EXP 	unnamed ShapeStim: ori = 12.0
14.8843 	EXP 	unnamed ShapeStim: ori = 12.0
14.8843 	EXP 	unnamed ShapeStim: ori = 12.0
14.8843 	EXP 	sent on actual flip
14.9177 	EXP 	unnamed ShapeStim: ori = 14.0
14.9177 	EXP 	unnamed ShapeStim: ori = 35.0
14.9177 	EXP 	unnamed ShapeStim: ori = 14.0
14.9177 	EXP 	unnamed ShapeStim: ori = 14.0
